AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,17-2161,Nuclear Engineers,detailed,330,24,0.121,1.45,,,65.72,136710,3.6,45.28,60.31,61.09,73.1,93.21,94180,125440,127070,152040,193870,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,17-2199,"Engineers, All Other",detailed,6240,7.3,2.331,2.34,,,59.82,124420,2.5,22.87,37.78,63.19,82.72,88.22,47580,78580,131440,172060,183500,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,17-3011,Architectural and Civil Drafters,detailed,780,21.6,0.291,0.4,,,33.86,70430,2.7,23.42,28.13,31.58,37.94,46.61,48710,58510,65680,78910,96940,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,17-3012,Electrical and Electronics Drafters,detailed,160,10.1,0.061,0.45,,,37.98,79000,2.4,26.12,30.88,38.69,45.83,48.97,54330,64220,80480,95320,101860,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,17-3013,Mechanical Drafters,detailed,840,13.6,0.314,1.06,,,34.58,71930,4.2,23.25,26.01,30.47,41.06,51.63,48360,54100,63380,85400,107400,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,17-3019,"Drafters, All Other",detailed,180,25.3,0.067,0.62,,,33.55,69790,6.7,23.25,25.86,30.64,39.83,46.56,48350,53780,63720,82850,96840,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,17-3021,Aerospace Engineering and Operations Technologists and Technicians,detailed,260,25.5,0.097,1.39,,,39.51,82180,2.5,23.99,37.28,41.62,44.29,48.15,49900,77550,86560,92130,100150,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,17-3022,Civil Engineering Technologists and Technicians,detailed,830,12.9,0.309,0.74,,,28.5,59280,3.7,19.31,21.52,27.46,33.39,38.59,40150,44760,57120,69450,80260,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,17-3023,Electrical and Electronic Engineering Technologists and Technicians,detailed,1890,7.3,0.706,1.1,,,43.28,90020,1.5,28.89,32.94,41.7,50.65,58.92,60100,68510,86730,105350,122550,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,detailed,210,10.1,0.077,0.76,,,40.85,84960,4.1,30.55,31.29,39.86,47.23,61.33,63550,65080,82900,98240,127570,,
